time,open,high,low,close
1783036800000,25673.55,25688.55,25644.55,25666.98
1783037700000,25665.98,25678.45,25648.75,25651.25
1783038600000,25653.25,25658.75,25629.25,25645.25
1783039500000,25644.75,25656.25,25632.15,25640.75
1783040400000,25641.25,25714.550000000003,25632.15,25709.75
1783041300000,25710.25,25727.25,25694.75,25713.25
1783042200000,25713.15,25736.15,25704.25,25722.75
1783043100000,25723.75,25723.75,25707.75,25714.25
1783044000000,25712.25,25725.75,25702.75,25705.25
1783044900000,25704.75,25720.25,25702.75,25717.25
1783045800000,25717.75,25717.75,25701.75,25705.25
1783046700000,25706.25,25715.25,25701.25,25708.75
1783047600000,25709.25,25717.25,25706.75,25717.25
1783048500000,25716.25,25730.55,25705.25,25726.75
1783049400000,25727.15,25733.75,25704.75,25709.25
1783050300000,25709.75,25739.25,25704.75,25738.15
1783051200000,25738.55,25746.55,25725.75,25746.15
1783052100000,25745.75,25749.15,25729.25,25743.15
1783053000000,25742.75,25749.55,25733.05,25738.149999999998
1783053900000,25738.75,25742.75,25722.75,25725.25
1783054800000,25724.25,25727.75,25708.25,25712.25
1783055700000,25713.75,25715.75,25694.25,25714.55
1783056600000,25713.55,25729.75,25706.25,25708.55
1783057500000,25708.25,25718.550000000003,25703.15,25713.75
1783058400000,25715.15,25755.85,25714.25,25749.45
1783059300000,25750.449999999997,25759.85,25729.85,25739.85
1783060200000,25744.45,25763.85,25735.05,25756.85
1783061100000,25757.45,25776.850000000002,25742.45,25776.850000000002
1783062000000,25773.85,25846.85,25755.85,25811.85
1783062900000,25810.85,25810.85,25762.85,25770.85
1783063800000,25769.85,25777.85,25720.85,25720.85
1783064700000,25721.85,25745.85,25705.85,25706.85
1783065600000,25707.85,25741.85,25696.85,25732.85
1783066500000,25733.85,25760.85,25733.85,25738.85
1783067400000,25737.85,25742.85,25700.85,25703.85
1783068300000,25704.85,25706.85,25648.85,25650.85
1783069200000,25651.85,25654.85,25631.85,25652.85
1783070100000,25651.85,25685.85,25647.85,25653.85
1783071000000,25652.85,25676.85,25641.85,25675.85
1783071900000,25674.85,25688.85,25660.85,25673.85
1783072800000,25672.85,25700.35,25660.35,25690.35
1783073700000,25689.35,25706.35,25680.35,25699.35
1783074600000,25698.35,25726.35,25698.35,25719.35
1783075500000,25720.35,25726.35,25709.35,25723.35
1783076400000,25724.35,25726.35,25694.35,25696.35
1783077300000,25697.35,25707.35,25677.35,25681.35
1783078200000,25682.35,25701.35,25677.35,25700.35
1783079100000,25699.35,25729.35,25699.35,25727.35
1783080000000,25728.35,25747.35,25728.35,25739.35
1783080900000,25737.35,25739.35,25721.35,25727.35
1783081800000,25728.35,25759.35,25727.35,25754.35
1783082700000,25755.35,25771.35,25747.35,25770.35
1783083600000,25771.35,25796.649999999998,25763.85,25777.85
1783084500000,25777.76,25791.85,25766.85,25769.85
1783085400000,25767.85,25777.85,25750.85,25773.85
1783086300000,25774.85,25805.85,25766.85,25792.85
1783087200000,25790.85,25815.85,25790.85,25797.85
1783088100000,25798.85,25804.85,25761.85,25771.85
1783089000000,25772.85,25811.85,25766.85,25800.85
1783089900000,25799.85,25842.85,25793.85,25830.85
1783090800000,25832.85,25841.85,25814.85,25838.85
1783091700000,25839.85,25856.85,25816.85,25824.85
1783092600000,25825.85,25833.85,25801.85,25820.85
1783093500000,25819.85,25826.85,25810.85,25818.85
1783094400000,25819.85,25838.85,25815.85,25833.85
1783095300000,25834.85,25841.85,25829.85,25830.85
1783096200000,25829.85,25841.85,25827.85,25831.85
1783097100000,25832.85,25833.85,25824.85,25825.85
1783098000000,25827.85,25827.85,25815.85,25816.85
1783098900000,25817.85,25826.85,25815.85,25823.85
1783099800000,25824.85,25825.85,25819.85,25820.85
1783100700000,25821.85,25830.85,25821.85,25826.85
1783101600000,25825.85,25829.449999999997,25815.85,25818.85
1783102500000,25817.85,25819.85,25811.85,25811.85
1783103400000,25812.85,25820.85,25812.85,25815.85
1783104300000,25814.85,25815.85,25812.85,25814.85
1783105200000,25813.85,25815.85,25810.85,25815.85
1783106100000,25817.449999999997,25822.85,25813.85,25819.85
1783107000000,25820.85,25842.85,25815.85,25835.85
1783107900000,25834.85,25843.85,25823.85,25841.949999999997
1783288800000,25837.15,25837.15,25809.15,25825.15
1783289700000,25824.15,25843.29,25821.15,25840.29
1783290600000,25841.29,25859.010000000002,25841.29,25857.010000000002
1783291500000,25856.010000000002,25863.29,25842.29,25845.29
1783292400000,25844.29,25868.29,25840.29,25865.15
1783293300000,25866.15,25869.15,25855.15,25857.15
1783294200000,25856.15,25868.15,25854.15,25857.15
1783295100000,25856.15,25873.29,25852.15,25871.29
1783296000000,25884.29,25887.29,25849.15,25872.15
1783296900000,25859.05,25930.05,25846.35,25852.85
1783297800000,25851.35,25884.85,25846.35,25876.75
1783298700000,25879.85,25891.85,25876.85,25886.35
1783299600000,25886.35,25895.149999999998,25870.85,25884.85
1783300500000,25884.85,25902.75,25871.85,25879.85
1783301400000,25878.85,25885.35,25869.35,25870.85
1783302300000,25864.35,25872.75,25838.85,25857.149999999998
1783303200000,25857.35,25863.35,25829.35,25829.85
1783304100000,25829.85,25840.35,25823.35,25825.85
1783305000000,25823.85,25835.35,25815.85,25817.35
1783305900000,25819.149999999998,25828.85,25810.35,25825.85
1783306800000,25825.85,25838.85,25820.35,25825.85
1783307700000,25827.85,25833.35,25811.35,25822.85
1783308600000,25824.85,25837.35,25811.85,25821.85
1783309500000,25824.85,25825.85,25803.85,25819.85
1783310400000,25820.85,25832.85,25803.75,25829.85
1783311300000,25828.85,25843.85,25828.85,25839.35
1783312200000,25839.85,25854.35,25838.35,25842.35
1783313100000,25844.35,25848.85,25835.85,25844.35
1783314000000,25845.85,25845.85,25829.85,25832.75
1783314900000,25833.149999999998,25841.35,25805.85,25813.149999999998
1783315800000,25809.35,25819.85,25804.75,25816.35
1783316700000,25817.75,25822.149999999998,25800.85,25810.85
1783317600000,25809.850000000002,25832.55,25790.95,25793.95
